StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q15,Q22,Q23,Q23_16_TEXT,Q24,Q24_5_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q12,Survey
6/17/2020 17:10,6/17/2020 17:16,IP Address,73.113.35.34,100,381,TRUE,6/17/2020 17:16,R_1pYAWZKE44QmNlM,,,,,35.9335022,-84.14810181,anonymous,EN,A moderate amount,A little,A moderate amount,A moderate amount,A great deal,A little,A moderate amount,None at all,xena22,18,"10,11,12",,Master's degree,,Female,,No,,"I can not attend next week's sessions due to being an AP reader for college board from 3-10, and the fact that my daughter has horse camp the 22nd-26th from 9-1. However I am willing to watch recorded lectures at a later time. Christi Ridley is in the same boat I am with being an AP Reader, so we could maybe team up to watch the lectures together.",Pre-Survey
6/18/2020 7:29,6/18/2020 7:29,IP Address,73.108.199.216,100,22,TRUE,6/18/2020 7:29,R_1gLtZy3lsXHWyXU,,,,,35.92430115,-83.99649811,anonymous,EN,,,,,,,A lot,,nj,,,,Education specialist degree,,,,,,,Pre-Survey
6/18/2020 13:59,6/18/2020 14:10,IP Address,99.17.90.227,100,693,TRUE,6/18/2020 14:10,R_3m2DlpfuEisIicR,,,,,35.8973999,-83.94249725,anonymous,EN,A great deal,A moderate amount,A moderate amount,A great deal,A great deal,A lot,A great deal,A lot,Jody4,14,"9,10,11,12",,Bachelor's degree in college,,Female,,No,,,Pre-Survey
6/18/2020 17:03,6/18/2020 17:06,IP Address,162.72.55.194,100,191,TRUE,6/18/2020 17:06,R_1DM509Hp90qDdhI,,,,,37.75100708,-97.8219986,anonymous,EN,A great deal,A moderate amount,A lot,A great deal,A great deal,A lot,A great deal,A lot,gimlet7,22,9,,Other (please describe),Master's +30,Female,,No,,,Pre-Survey
6/19/2020 9:43,6/19/2020 9:47,IP Address,98.240.34.110,100,229,TRUE,6/19/2020 9:47,R_3gTTaoC39yV87SH,,,,,36.04989624,-83.92279816,anonymous,EN,A lot,A little,A moderate amount,A moderate amount,A lot,A lot,A lot,A lot,Tag14,17,6,,Bachelor's degree in college,,Female,,No,,I won't be able to log in on Friday while I am on the plane,Pre-Survey
6/19/2020 11:00,6/19/2020 11:02,IP Address,73.108.236.163,100,121,TRUE,6/19/2020 11:02,R_33CDU24cesgs9Yt,,,,,36.01300049,-84.26239777,anonymous,EN,A moderate amount,,A moderate amount,A little,A moderate amount,A little,A great deal,A great deal,scruffy10,10,7,,Master's degree,,Female,,No,,,Pre-Survey
6/19/2020 14:35,6/19/2020 14:38,IP Address,99.17.92.73,100,179,TRUE,6/19/2020 14:38,R_1hZ3nF6tGAKmA9M,,,,,35.92430115,-83.99649811,anonymous,EN,A lot,A moderate amount,A lot,A great deal,A great deal,A moderate amount,A great deal,A lot,Gracie7,7,"9,10,11,12",,Bachelor's degree in college,,Female,,No,,,Pre-Survey
6/20/2020 14:20,6/20/2020 14:26,IP Address,71.83.65.195,100,377,TRUE,6/20/2020 14:26,R_1P7P78UOQlQ7z4u,,,,,35.6598053,-83.98670197,anonymous,EN,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,A great deal,A lot,bella4,17,"9,10,11,12",,Master's degree,,Female,,No,,"I am grading AP essays this week through Weds, so I am hoping that there will be some recordings of the meetings made. :)   Sorry to be difficult, but I am concerned on how to give 100% to both responsibilities. My grading schedule is a little flexible, so I am going to try to divide my time between both.",Pre-Survey
6/21/2020 8:31,6/21/2020 8:38,IP Address,67.187.116.167,100,453,TRUE,6/21/2020 8:38,R_2V4rJKK2CnKXAGG,,,,,35.92430115,-83.99649811,anonymous,EN,A great deal,A moderate amount,A moderate amount,A lot,A great deal,A great deal,A lot,A lot,3687,14,7,,Master's degree,,Female,,No,,Need more GIS practice ,Pre-Survey
6/21/2020 21:06,6/21/2020 21:08,IP Address,172.58.187.30,100,134,TRUE,6/21/2020 21:08,R_31cPzzAaZNUsAE1,,,,,38.95379639,-76.8946991,anonymous,EN,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,PEPPER2014,,6,,Master's degree,,Female,,No,,,Pre-Survey
6/21/2020 22:05,6/21/2020 22:08,IP Address,68.169.132.28,100,191,TRUE,6/21/2020 22:08,R_1eradBr46w955gB,,,,,35.09559631,-85.17690277,anonymous,EN,A great deal,A moderate amount,A lot,A lot,A great deal,A moderate amount,A great deal,A moderate amount,Toby29,32,"9,10,11,12",,Master's degree,,Male,,No,,"none
",Pre-Survey
6/22/2020 8:35,6/22/2020 8:37,IP Address,73.121.108.217,100,149,TRUE,6/22/2020 8:37,R_BRDqBUSK6IUJgFH,,,,,35.68840027,-84.07689667,anonymous,EN,A great deal,A moderate amount,A lot,A great deal,Unable to answer / Do not know,A great deal,A great deal,A great deal,Mufasa,25,8,,Bachelor's degree in college,,Female,,No,,,Pre-Survey
6/22/2020 8:41,6/22/2020 8:43,IP Address,73.121.13.12,100,116,TRUE,6/22/2020 8:43,R_3IYL3B88AzMsr3Y,,,,,36.01300049,-84.26239777,anonymous,EN,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A little,pongo1,,6,,Education specialist degree,,Female,,No,,excited to IMPROVE!,Pre-Survey
6/22/2020 8:46,6/22/2020 8:48,IP Address,174.195.18.97,100,114,TRUE,6/22/2020 8:48,R_UWRu734sykVCGTn,,,,,35.9375,-84.07299805,anonymous,EN,A great deal,A little,A moderate amount,A moderate amount,A great deal,A moderate amount,A great deal,A great deal,buddy14,17,"7,8,9,10,11,Other (please describe)",some college,Master's degree,,Female,,No,,,Pre-Survey
6/22/2020 8:55,6/22/2020 8:56,IP Address,76.234.103.8,100,88,TRUE,6/22/2020 8:56,R_1GvuTVT5qd2lFmg,,,,,35.85850525,-84.12059784,anonymous,EN,A great deal,A lot,A lot,A lot,A great deal,A lot,A lot,A lot,Maggie11,11,6,,Bachelor's degree in college,,Female,,No,,,Pre-Survey
6/22/2020 9:02,6/22/2020 9:10,Survey Preview,,100,488,TRUE,6/22/2020 9:10,R_3rYfdjRNv30GHBy,,,,,35.92430115,-83.99649811,preview,EN,A little,A moderate amount,A moderate amount,A lot,A moderate amount,A little,None at all,A little,Dha123,4,"6,7",,Master's degree,,Female,,No,,,Pre-Survey
6/22/2020 9:17,6/22/2020 9:17,Spam,162.72.55.194,10,13,FALSE,6/29/2020 9:17,R_2pRy5vKmbW7DIsZ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,Pre-Survey
6/22/2020 15:15,6/22/2020 15:15,IP Address,107.77.232.184,10,6,FALSE,6/29/2020 15:15,R_2pQ5kWhcYFjZ1iT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,Pre-Survey
6/29/2020 12:39,6/29/2020 12:41,IP Address,99.17.90.227,100,98,TRUE,6/29/2020 12:41,R_3ikd9JF3sCG3cNQ,,,,,35.8973999,-83.94249725,anonymous,EN,A great deal,A lot,A lot,A great deal,A great deal,A moderate amount,A great deal,A great deal,Jody4,,,,,,,,,,,Post-Survey
6/29/2020 12:45,6/29/2020 12:47,IP Address,68.169.132.28,100,76,TRUE,6/29/2020 12:47,R_Unm3IOOd57I6wal,,,,,35.09559631,-85.17690277,anonymous,EN,A great deal,A lot,A lot,A lot,A great deal,A great deal,A great deal,A great deal,Toby29,,,,,,,,,,,Post-Survey
6/29/2020 15:55,6/29/2020 15:57,IP Address,162.72.55.194,100,96,TRUE,6/29/2020 15:57,R_1pEcONd3mugqn1s,,,,,37.75100708,-97.8219986,anonymous,EN,A great deal,A lot,A lot,A great deal,A great deal,A lot,A great deal,A great deal,gimlet7,,,,,,,,,,,Post-Survey
6/30/2020 8:39,6/30/2020 8:39,IP Address,69.73.57.202,100,40,TRUE,6/30/2020 8:39,R_3DxtnSnvCB7si53,,,,,36.04989624,-83.92279816,anonymous,EN,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Pepper2014,,,,,,,,,,,Post-Survey
6/30/2020 9:45,6/30/2020 9:46,IP Address,76.234.103.8,100,39,TRUE,6/30/2020 9:46,R_2xLV4nDum0Kjr0s,,,,,35.85850525,-84.12059784,anonymous,EN,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,A great deal,Maggie11,,,,,,,,,,,Post-Survey
7/1/2020 14:15,7/1/2020 14:16,IP Address,99.17.92.73,100,63,TRUE,7/1/2020 14:16,R_3EjaUq48cN5vGvE,,,,,35.92430115,-83.99649811,anonymous,EN,A moderate amount,A lot,A great deal,A great deal,A lot,A moderate amount,A great deal,A great deal,gracie7,,,,,,,,,,,Post-Survey
7/2/2020 15:57,7/2/2020 15:58,IP Address,67.187.116.167,100,65,TRUE,7/2/2020 15:58,R_1OP7zOlJWi2NMp0,,,,,35.85850525,-84.12059784,anonymous,EN,A great deal,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,3687,,,,,,,,,,,Post-Survey
7/3/2020 9:36,7/3/2020 9:37,IP Address,73.19.205.244,100,38,TRUE,7/3/2020 9:37,R_2rPkNTZZZVTRzd4,,,,,36.0868988,-84.18969727,anonymous,EN,A great deal,A moderate amount,A lot,A lot,A great deal,A great deal,A great deal,A great deal,buddy14,,,,,,,,,,,Post-Survey
9/16/2020 16:19,9/16/2020 16:21,IP Address,162.72.55.194,100,132,TRUE,9/16/2020 16:21,R_YXpudbtOHEzGmLn,,,,,35.8697052,-83.74620056,anonymous,EN,A great deal,A moderate amount,A lot,A lot,A great deal,A little,A great deal,A great deal,honey7,,,,,,,,,,,Post-Survey
9/17/2020 7:56,9/17/2020 7:57,IP Address,96.4.67.70,100,82,TRUE,9/17/2020 7:57,R_2ccoTwuZ0PtQO5L,,,,,36.01300049,-84.26239777,anonymous,EN,A lot,A moderate amount,A lot,A great deal,A lot,A lot,A lot,A moderate amount,pongo21,,,,,,,,,,,Post-Survey
