StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q15,Q22,Q23,Q23_16_TEXT,Q24,Q24_5_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Setting up a surveillance program with students,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Knowing about veterinary entomology,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - The lifecycle of a mosquito,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - The habitat of a mosquito,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Planning and carrying out a scientific investigation with students,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Writing a geo-inquiry question,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Collecting mosquito data in the field with students,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Collecting GIS data in the field with students,"Please enter your personal code in the text box below.

 

Your personal code is a unique, anonymous identifier that we will ask you to use in your survey responses and other data sources for us to be able to link your data, while protecting your confidentiality and privacy. 

 

So that it is easy for you to remember, please consider your first pet's name and the day of the month on which you were born as your personal code. For example, if your first pet was named Freddie, and you were born on the 4th day of the month, your personal code would be: 

 

freddie4","By the end of the current school year, for how many years have you worked in education?",At what grade level(s) do you teach? - Selected Choice,At what grade level(s) do you teach? - Other (please describe) - Text,What is the highest level of schooling you have completed or the highest degree you have received? - Selected Choice,What is the highest level of schooling you have completed or the highest degree you have received? - Other (please describe) - Text,What is your gender? - Selected Choice,What is your gender? - Other (please describe) - Text,Do you identify as a member of an underrepresented racial or ethnic group?,Which which underrepresented group(s) do you identify?,What other information about the forthcoming MEGA:BITESS Summer Academy-if anything-would you like to share with us?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_16_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_5_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_4_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID12_TEXT""}"
2020-06-17 17:10:20,2020-06-17 17:16:42,IP Address,73.113.35.34,100,381,True,2020-06-17 17:16:42,R_1pYAWZKE44QmNlM,,,,,35.933502197265625,-84.148101806640625,anonymous,EN,A moderate amount,A little,A moderate amount,A moderate amount,A great deal,A little,A moderate amount,None at all,xena22,18,"10,11,12",,Master's degree,,Female,,No,,"I can not attend next week's sessions due to being an AP reader for college board from 3-10, and the fact that my daughter has horse camp the 22nd-26th from 9-1. However I am willing to watch recorded lectures at a later time. Christi Ridley is in the same boat I am with being an AP Reader, so we could maybe team up to watch the lectures together."
2020-06-18 07:29:05,2020-06-18 07:29:28,IP Address,73.108.199.216,100,22,True,2020-06-18 07:29:28,R_1gLtZy3lsXHWyXU,,,,,35.9243011474609375,-83.99649810791015625,anonymous,EN,,,,,,,A lot,,nj,,,,Education specialist degree,,,,,,
2020-06-18 13:59:15,2020-06-18 14:10:48,IP Address,99.17.90.227,100,693,True,2020-06-18 14:10:48,R_3m2DlpfuEisIicR,,,,,35.89739990234375,-83.94249725341796875,anonymous,EN,A great deal,A moderate amount,A moderate amount,A great deal,A great deal,A lot,A great deal,A lot,Jody4,14,"9,10,11,12",,Bachelor's degree in college,,Female,,No,,
2020-06-18 17:03:39,2020-06-18 17:06:50,IP Address,162.72.55.194,100,191,True,2020-06-18 17:06:50,R_1DM509Hp90qDdhI,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A great deal,A moderate amount,A lot,A great deal,A great deal,A lot,A great deal,A lot,gimlet7,22,9,,Other (please describe),Master's +30,Female,,No,,
2020-06-19 09:43:23,2020-06-19 09:47:12,IP Address,98.240.34.110,100,229,True,2020-06-19 09:47:12,R_3gTTaoC39yV87SH,,,,,36.049896240234375,-83.92279815673828125,anonymous,EN,A lot,A little,A moderate amount,A moderate amount,A lot,A lot,A lot,A lot,Tag14,17,6,,Bachelor's degree in college,,Female,,No,,I won't be able to log in on Friday while I am on the plane
2020-06-19 11:00:47,2020-06-19 11:02:49,IP Address,73.108.236.163,100,121,True,2020-06-19 11:02:49,R_33CDU24cesgs9Yt,,,,,36.01300048828125,-84.26239776611328125,anonymous,EN,A moderate amount,,A moderate amount,A little,A moderate amount,A little,A great deal,A great deal,scruffy10,10,7,,Master's degree,,Female,,No,,
2020-06-19 14:35:10,2020-06-19 14:38:10,IP Address,99.17.92.73,100,179,True,2020-06-19 14:38:10,R_1hZ3nF6tGAKmA9M,,,,,35.9243011474609375,-83.99649810791015625,anonymous,EN,A lot,A moderate amount,A lot,A great deal,A great deal,A moderate amount,A great deal,A lot,Gracie7,7,"9,10,11,12",,Bachelor's degree in college,,Female,,No,,
2020-06-20 14:20:27,2020-06-20 14:26:45,IP Address,71.83.65.195,100,377,True,2020-06-20 14:26:45,R_1P7P78UOQlQ7z4u,,,,,35.6598052978515625,-83.98670196533203125,anonymous,EN,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,A great deal,A lot,bella4,17,"9,10,11,12",,Master's degree,,Female,,No,,"I am grading AP essays this week through Weds, so I am hoping that there will be some recordings of the meetings made. :)   Sorry to be difficult, but I am concerned on how to give 100% to both responsibilities. My grading schedule is a little flexible, so I am going to try to divide my time between both."
2020-06-21 08:31:17,2020-06-21 08:38:51,IP Address,67.187.116.167,100,453,True,2020-06-21 08:38:51,R_2V4rJKK2CnKXAGG,,,,,35.9243011474609375,-83.99649810791015625,anonymous,EN,A great deal,A moderate amount,A moderate amount,A lot,A great deal,A great deal,A lot,A lot,3687,14,7,,Master's degree,,Female,,No,,"Need more GIS practice "
2020-06-21 21:06:39,2020-06-21 21:08:53,IP Address,172.58.187.30,100,134,True,2020-06-21 21:08:53,R_31cPzzAaZNUsAE1,,,,,38.95379638671875,-76.8946990966796875,anonymous,EN,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,PEPPER2014,,6,,Master's degree,,Female,,No,,
2020-06-21 22:05:35,2020-06-21 22:08:47,IP Address,68.169.132.28,100,191,True,2020-06-21 22:08:47,R_1eradBr46w955gB,,,,,35.0955963134765625,-85.17690277099609375,anonymous,EN,A great deal,A moderate amount,A lot,A lot,A great deal,A moderate amount,A great deal,A moderate amount,Toby29,32,"9,10,11,12",,Master's degree,,Male,,No,,"none
"
2020-06-22 08:35:18,2020-06-22 08:37:47,IP Address,73.121.108.217,100,149,True,2020-06-22 08:37:48,R_BRDqBUSK6IUJgFH,,,,,35.6884002685546875,-84.07689666748046875,anonymous,EN,A great deal,A moderate amount,A lot,A great deal,Unable to answer / Do not know,A great deal,A great deal,A great deal,Mufasa,25,8,,Bachelor's degree in college,,Female,,No,,
2020-06-22 08:41:30,2020-06-22 08:43:26,IP Address,73.121.13.12,100,116,True,2020-06-22 08:43:26,R_3IYL3B88AzMsr3Y,,,,,36.01300048828125,-84.26239776611328125,anonymous,EN,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A little,pongo1,,6,,Education specialist degree,,Female,,No,,excited to IMPROVE!
2020-06-22 08:46:12,2020-06-22 08:48:07,IP Address,174.195.18.97,100,114,True,2020-06-22 08:48:07,R_UWRu734sykVCGTn,,,,,35.9375,-84.072998046875,anonymous,EN,A great deal,A little,A moderate amount,A moderate amount,A great deal,A moderate amount,A great deal,A great deal,buddy14,17,"7,8,9,10,11,Other (please describe)",some college,Master's degree,,Female,,No,,
2020-06-22 08:55:00,2020-06-22 08:56:29,IP Address,76.234.103.8,100,88,True,2020-06-22 08:56:29,R_1GvuTVT5qd2lFmg,,,,,35.8585052490234375,-84.12059783935546875,anonymous,EN,A great deal,A lot,A lot,A lot,A great deal,A lot,A lot,A lot,Maggie11,11,6,,Bachelor's degree in college,,Female,,No,,
2020-06-22 09:02:37,2020-06-22 09:10:46,Survey Preview,,100,488,True,2020-06-22 09:10:47,R_3rYfdjRNv30GHBy,,,,,35.9243011474609375,-83.99649810791015625,preview,EN,A little,A moderate amount,A moderate amount,A lot,A moderate amount,A little,None at all,A little,Dha123,4,"6,7",,Master's degree,,Female,,No,,
2020-06-22 09:17:02,2020-06-22 09:17:16,Spam,162.72.55.194,10,13,False,2020-06-29 09:17:20,R_2pRy5vKmbW7DIsZ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,
2020-06-22 15:15:26,2020-06-22 15:15:33,IP Address,107.77.232.184,10,6,False,2020-06-29 15:15:46,R_2pQ5kWhcYFjZ1iT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,
